小区名称,建筑面积(㎡),户型,所在区域,装修情况,成交单价(元/㎡)
昭山印象,98,三室两厅,昭山示范区核心,精装,6800
湘江湾小区,125,四室两厅,昭山示范区沿江,简装,6200
仰天湖花园,86,两室一厅,昭山示范区景区,毛坯,5500
金侨城昭山苑,110,三室两厅,昭山示范区商圈,中装,6500
昭山新城小区,140,四室三厅,昭山示范区新区,精装,7200
晴岚苑,75,两室一厅,昭山示范区北部,毛坯,5300
昭山壹号院,132,四室两厅,昭山示范区核心,豪装,8500
莲城水岸昭山府,105,三室两厅,昭山示范区沿江,中装,6600
昭山学府,92,三室一厅,昭山示范区科教区,简装,5800
锦绣昭山小区,118,三室两厅,昭山示范区南部,精装,6900
昭山逸居,68,两室一厅,昭山示范区边缘,毛坯,5100
湖湘林语昭山分苑,150,五室两厅,昭山示范区核心,精装,7800
昭山国际社区,45,一室一厅（公寓）,昭山示范区核心,精装,7000
长株潭融城社区,220,联排别墅,昭山示范区新区,毛坯,9500
昭山颐养小区,58,一室一厅（公寓）,昭山示范区景区,中装,6000
昭山御墅,300,独栋别墅,昭山示范区沿江,豪装,12000
融城时代公寓,42,开间（公寓）,昭山示范区商圈,精装,6800
昭山别院,260,双拼别墅,昭山示范区北部,毛坯,10000
湘江明珠公寓,50,一室一厅（公寓）,昭山示范区沿江,简装,6300
昭山康养别墅群,280,联排别墅,昭山示范区景区,中装,10800
